"Poster","Viewing_Duration_ms","N_Fixations","Total_Fixation_ms","Mean_Fixation_ms","Longest_Fixation_ms","Longest_Fix_X","Longest_Fix_Y","Image_Width","Image_Height"
"David Carson",16001.3094,63,8633.9,137,283.3,587,218,1920,1200
"Armin Hofman- 1955",15994.0966,59,9708.7,164.6,466.7,1312,1073,1920,1200
"Jan Tschichold-1938-Der",16002.3977,55,10292.8,187.1,900.1,1031,980,1920,1200
"David Carson - 1990",15988.9605,56,9649.5,172.3,466.7,1439,520,1920,1200
"Sean Alatorre",15996.225,61,11150.7,182.8,516.7,973,987,1920,1200
"Paul Rand, 1947",15987.9131,53,9750.4,184,650,637,679,1920,1200
"bookcover",15992.3707,48,11587.3,241.4,1133.4,1097,948,1920,1200
"Joost Schmidt-1923-Saatliches",15993.8692,55,9700.3,176.4,900,812,409,1920,1200
"Jan Tschichold-1927-Die Frau ohne Namen",15996.8787,62,12283.9,198.1,933.4,1087,1059,1920,1200
"Scott Barry- 2010",15996.2945999999,62,11158.9,180,450,1243,568,1920,1200
"nancy poster",16000.0331999999,58,8441.9,145.6,566.7,1213,745,1920,1200
"Barry Ceck - 1988",15991.7082,68,9959.3,146.5,358.3,607,504,1920,1200
"Ella Rosenblatt- 2021",15988.875,58,10299.9,177.6,566.7,756,859,1920,1200
"Iris Chung- 2015",15996.8774999999,58,9375.5,161.6,541.7,674,733,1920,1200
